account_address,input_token_raw_amount,amount_wei,swell_amount_wei,swell_amount
0xf393b9cf02eb6d21846000f2c4ecdfb70083df9c,10000000000000000000,10000000000000000000,2982007370336721985335323,2982007.370336721985335323
0x915250124abf3c3f4e6a52ef99b1bd0f9d33db15,9679595417040917544,9679595417040917544,2886462487549357229383901,2886462.487549357229383901
0x465050115c77566c87344b740a40095444bc0205,3388545512687123972,3388545512687123972,1010466769355442996103878,1010466.769355442996103878
0xeec9a04dc68ef92c7a3cca6334b07cf89f1e3a84,3388315452195818275,3388315452195818275,1010398165147373308523642,1010398.165147373308523642
0xae883b12d9fbc702869c13d7876a69cbbf05efad,3386319325671735364,3386319325671735364,1009802918746679322245719,1009802.918746679322245719
0xe08753f2caf86cfa29ce24b1ca765f6f3a25a68d,1047931508718505043,1047931508718505043,312493948260666287171930,312493.948260666287171930
0x43e00720bcbe904f70194300b58c46a3613bef4c,967486488377374604,967486488377374604,288505183904252438153036,288505.183904252438153036
0xd3d9da1ff30c6ab3884710983f5cc0ab6d5904e2,683093774363032405,683093774363032405,203699066978169237913254,203699.066978169237913254
0xa36023c6fb821d02de6ea9926481e8caf8d00d2b,411247885642969924,411247885642969924,122634422602272970657499,122634.422602272970657499
0x095c938780605911df64dc66342c3260989e68a9,374933729570492143,374933729570492143,111805514496704293474324,111805.514496704293474324
0x81e14e07493bd2a3ad29bb7dab1f26de9c98151b,109344106525017729,109344106525017729,32606493156048652189248,32606.493156048652189248
0xf390b23ff4194fea74c3405f8d8acad6032cdd77,96885829106536170,96885829106536170,28891425647687496283918,28891.425647687496283918
0x5ae60fdd3b5edc65bc44fc32738628ab4144a61f,758662841930658,758662841930658,226233818623782564328,226.233818623782564328
